state_county,Population,Race_White,Race_Black,Race_Asian,Race_Native,Race_Hispanic,Race_Multi,Alone_65,Under18,Over65,UnderHS,Ed_HSDiploma,Ed_SomeCollege,Ed_Assoc,Ed_Degree
"AK, Alaska",731545,62.24,3.0,5.12,14.02,5.37,7.09,2.69,10327587795757.0,3030172121084.0,2800321720878.0,10963248570794.0,10467799214558.0,3348805243905.0,11569047525306.0
"AK, Aleutians East",3337,12.74,6.35,33.35,26.04,11.54,4.58,2.07,438749.0,183735.0,540059.99,1614640.99,933159.01,200454.0,427603.0
"AK, Aleutians West",5634,30.97,5.64,27.96,14.93,12.89,5.52,1.3,2621894.99,618950.99,1885474.0,6980075.01,4697797.99,1272833.0,3047205.01
"AK, Anchorage",288000,63.48,5.32,8.06,7.66,7.66,8.21,2.63,620371353600.0,172946534400.0,145674547200.0,559457280000.0,606727065600.0,214360473600.0,862559539200.0
"AK, Bethel",18386,10.08,0.35,0.86,76.45,0.98,3.88,0.84,227166201.0,38029970.0,118653867.0,288521386.0,111859137.0,28666164.0,73828983.0
"AK, Bristol Bay",836,56.94,0.0,0.96,39.47,2.87,19.98,3.11,13208.97,4891.03,3494.02,21594.02,15725.0,4405.98,13141.99
"AK, Denali",2097,76.97,0.48,0.91,3.05,2.0,3.81,3.77,207560.99,69033.0,14071.01,239666.0,229538.01,60247.02,378613.02
"AK, Dillingham",4916,17.39,0.22,0.65,69.79,2.05,8.91,1.95,3910236.0,899038.0,1624050.0,4424989.99,2728477.99,480932.0,2622145.0
"AK, Fairbanks North Star",96849,74.61,4.29,2.59,6.89,5.83,6.89,2.45,23273920716.0,5931740726.0,5003147672.0,20553799363.0,28216100005.0,8570258080.0,28498430336.0
"AK, Haines",2530,81.5,0.36,0.51,8.97,1.86,5.81,8.93,321967.98,222740.99,40327.98,488390.99,472376.01,71042.02,547290.0
"AK, Hoonah-Angoon",2148,46.23,0.37,0.56,39.57,3.58,10.2,4.0,195639.99,132875.0,61818.99,381571.0,251466.01,84437.99,211320.02
"AK, Juneau ",31974,65.88,0.81,5.88,11.05,4.97,9.28,3.46,766854824.0,275519638.0,118488929.0,706332518.0,962938896.0,225425333.0,1255634008.0
"AK, Kenai Peninsula",58708,78.15,0.42,1.05,6.76,2.8,5.29,4.41,4789436213.0,2292697692.0,1481705968.0,6322497004.0,5580781893.0,1873932354.0,4975209460.0
"AK, Ketchikan Gateway",13901,64.15,0.55,6.73,13.17,3.87,8.99,3.88,64309501.0,27246516.0,19420392.0,79787848.0,78956985.0,22570220.0,67884421.0
"AK, Kodiak Island",12998,54.91,0.65,20.16,13.53,7.66,7.98,1.65,62916299.0,14782885.0,22419340.0,65213956.0,54570153.0,15931779.0,61480150.0
"AK, Kusilvak",8314,2.39,0.01,0.2,85.18,0.08,1.82,0.55,23888781.99,3117417.0,12137941.0,32190395.0,9656462.0,1230388.99,2253427.0
"AK, Lake and Peninsula",1592,22.74,0.57,0.38,65.58,2.7,10.3,1.7,121660.99,31426.01,48413.0,178431.03,96809.99,14948.99,65129.02
"AK, Matanuska-Susitna",108317,68.02,0.75,0.99,4.37,3.05,5.3,2.12,36727645266.0,10090012341.0,8961338369.0,42034287900.0,36397959730.0,12246458666.0,27443659800.0
"AK, Nome",10004,15.1,0.27,0.88,71.72,1.15,5.87,1.34,34367441.0,6355041.0,15452378.0,41172963.0,23628848.0,3702981.0,16162963.0
"AK, North Slope",9832,31.11,0.93,4.21,51.32,2.53,5.01,1.3,22688028.0,4050391.0,9763471.0,40842325.0,21759986.0,6979442.0,15708586.0
"AK, Northwest Arctic",7621,10.89,0.46,0.55,80.07,0.76,5.88,1.06,15617639.0,2677486.0,7730438.0,20653139.0,8032382.0,1986337.0,5860244.0
"AK, Petersburg",3266,81.11,0.46,2.94,18.46,3.98,9.98,4.81,813886.99,400019.99,360533.99,1105083.99,794683.01,234662.0,988813.99
"AK, Prince of Wales-Hyder",6203,44.43,0.27,0.34,34.9,2.05,7.64,4.9,6114048.99,2400995.0,2197041.0,9046021.01,6429534.0,1835343.99,4359468.0
"AK, Sitka ",8493,66.42,0.51,5.99,16.98,5.15,10.26,4.49,14411772.0,6953474.0,3238721.01,16777667.0,14354104.0,6448480.0,20441972.0
"AK, Skagway",1183,73.71,0.0,0.42,2.87,1.78,3.3,2.37,26026.04,15119.02,8813.02,48278.02,49685.97,9795.01,49118.01
"AK, Southeast Fairbanks",6893,80.3,1.03,0.93,11.56,3.39,4.98,3.12,8618938.0,3093096.0,3321185.0,11208432.0,8851784.0,2922081.0,6452331.0
"AK, Valdez-Cordova",9202,75.52,0.49,3.8,13.8,3.79,7.54,3.08,18993020.0,6452350.0,3607276.01,24014367.0,21067611.0,5207596.0,24022833.0
"AK, Wrangell ",2502,67.91,0.16,1.28,15.23,1.48,8.91,5.96,343674.98,247272.98,210968.98,552766.99,366843.01,132081.02,304243.01
"AK, Yakutat ",579,46.29,0.35,4.66,40.59,2.94,17.62,5.01,4759.07,1875.99,1707.94,6502.07,5668.05,1140.93,4388.95
"AK, Yukon-Koyukuk",5230,23.29,0.17,0.27,75.85,1.26,6.0,4.36,3971662.01,1455194.99,2007692.01,5746829.01,4119357.0,486860.99,1944776.0
"AL, Alabama",4903185,65.35,25.38,1.08,0.53,3.79,1.45,4.45,2792544336139914.0,1622008434835234.0,1628999622535381.0,3630691094511876.0,2523881263398046.0,1002115112555552.8,3002169377228572.0
"AL, Autauga",55869,75.45,17.17,0.84,0.39,2.34,1.56,3.97,4670156753.0,2092549930.0,2002655033.0,5857516586.0,3479051462.0,1465783554.0,4633636864.0
"AL, Baldwin",223234,68.18,7.6,0.6,0.51,3.58,1.22,4.6,255750088085.0,186556385919.0,102278108298.0,307701428254.0,242922966455.0,105098681049.0,354455141999.0
"AL, Barbour",24686,52.0,51.93,0.43,0.24,5.62,1.05,5.27,329623765.0,214203631.0,402995247.0,535600540.0,283248398.0,108351051.0,174166148.0
"AL, Bibb",22394,76.77,22.43,0.1,0.29,1.81,0.91,3.58,254907991.0,142423601.0,235199479.0,503998692.0,184699218.0,82595566.0,116546662.0
"AL, Blount",57826,88.11,1.25,0.2,0.49,8.0,1.18,4.05,4758627601.0,2846281881.0,3772527184.0,6462651686.0,4146703617.0,2422951035.0,2531625750.0
"AL, Bullock",10101,23.68,75.61,0.2,0.2,7.69,0.85,4.03,22936341.0,13876148.0,26099368.0,41505918.0,18416446.0,4611814.0,12427260.0
"AL, Butler",19448,58.23,46.52,0.89,0.3,0.98,0.83,4.22,177576576.0,122544765.0,109987775.0,332346094.0,120388954.0,54123978.0,118686865.0
"AL, Calhoun",113605,76.83,21.28,0.73,0.42,3.43,1.74,4.47,33546815795.0,21011124329.0,22824430536.0,48077789367.0,36621047755.0,11998797645.0,27096348888.0
"AL, Chambers",33254,59.82,39.71,0.5,0.17,1.61,1.16,5.24,827712677.0,613402951.0,675882229.0,1350880235.0,818644977.0,343027979.0,488886674.0
"AL, Cherokee",26196,91.35,4.6,0.19,0.47,1.22,1.48,5.47,385044002.0,321773327.0,331243443.0,723698555.0,362535613.0,150970692.0,229269488.0
"AL, Chilton",44428,79.67,9.39,0.28,0.3,7.7,1.14,4.86,2202024061.0,1190032414.0,1597631769.0,3895782027.0,1470516152.0,689662064.0,1115815884.0
"AL, Choctaw",12589,61.16,47.58,0.1,0.14,0.58,0.46,5.67,45215156.0,36276714.0,37148377.0,75168415.0,41443240.0,21949929.0,23804162.0
"AL, Clarke",23622,59.03,47.75,0.31,0.41,1.15,0.75,4.97,325982891.0,212988235.0,256177283.0,550577560.0,244849825.0,105406088.0,161149993.0
"AL, Clay",13235,84.52,15.47,0.17,0.42,3.01,1.78,4.84,52321793.0,40760888.0,54038505.0,87670228.0,43546062.0,22088289.0,24488059.0
"AL, Cleburne",14910,93.6,3.31,0.15,0.34,2.06,1.07,5.75,78630420.0,52264619.0,69515788.0,125870816.0,66069938.0,18918404.0,51108647.0
"AL, Coffee",52342,69.03,15.78,1.2,1.15,6.08,2.38,4.42,3468989080.0,2070653707.0,2018052091.0,3906790654.0,3449263474.0,1697508636.0,3268444371.0
"AL, Colbert",55241,78.45,15.75,0.41,0.47,1.98,1.53,4.99,3727185398.0,2931336044.0,2502285826.0,6377777289.0,3627704090.0,1290202719.0,3059196863.0
"AL, Conecuh",12067,56.05,50.73,0.14,0.36,1.33,1.09,5.41,40407436.0,31379509.0,27535325.0,89828317.0,22235016.0,13672997.0,22438828.0
"AL, Coosa",10663,71.31,33.35,0.13,0.38,2.16,0.97,5.81,24900238.0,20693364.0,24252140.0,48833981.0,25355015.0,7254039.0,15542709.0
"AL, Covington",37049,85.7,12.65,0.4,0.53,1.3,1.41,5.84,1147791728.0,934210912.0,843480134.0,1896835072.0,1072983499.0,495518890.0,776632994.0
"AL, Crenshaw",13772,72.76,23.53,1.37,0.41,1.48,1.47,5.25,62135270.0,41499305.0,54339905.0,103236289.0,42694302.0,15438963.0,45482443.0
"AL, Cullman",83768,89.02,0.98,0.4,0.47,4.12,1.06,4.97,13625060379.0,9363588715.0,10842788352.0,20027441918.0,13301572656.0,6459219802.0,8150335725.0
"AL, Dale",49172,72.61,19.41,1.07,0.69,5.74,3.06,4.54,2951996273.0,1599189486.0,1650206911.0,3838635291.0,3055482190.0,1188148937.0,2156512310.0
"AL, Dallas",37196,34.08,81.5,0.39,0.21,0.83,0.8,5.94,1361682327.0,724007865.0,934306238.0,1848551186.0,1034889802.0,571403092.0,757074365.0
"AL, DeKalb",71513,81.1,1.44,0.23,1.21,13.55,2.2,4.35,9446782200.0,5079844430.0,9199771292.0,12521896265.0,6679538036.0,3411110744.0,4760212786.0
"AL, Elmore",81209,73.2,19.47,0.63,0.33,2.62,1.41,3.4,12633853045.0,6373313179.0,7164041964.0,17407243352.0,10503699558.0,5057629929.0,13423922412.0
"AL, Escambia",36633,64.17,33.2,0.23,3.48,1.96,1.58,5.47,1113438055.0,745736516.0,927305782.0,2149712359.0,863427721.0,362602226.0,612880714.0
"AL, Etowah",102268,80.95,15.37,0.64,0.36,3.37,1.51,5.51,24568635240.0,16910742971.0,16522723861.0,35144516831.0,26564163111.0,9699438695.0,19028638595.0
"AL, Fayette",16302,90.98,12.01,0.23,0.29,1.25,1.05,5.02,96442632.0,77494165.0,75394794.0,178800173.0,96043885.0,29312789.0,53709058.0
"AL, Franklin",31362,80.51,3.86,0.16,0.39,15.02,1.69,4.78,765319673.0,469460287.0,703256156.0,1127963810.0,562604800.0,259368758.0,431395914.0
"AL, Geneva",26271,86.38,9.6,0.24,0.75,3.5,1.58,5.04,405403301.0,316371933.0,356815612.0,652344396.0,393118193.0,184343082.0,226512240.0
"AL, Greene",8111,19.26,90.61,0.18,0.14,0.85,0.53,9.04,12947103.0,8578761.0,11091874.0,20604941.01,12940533.0,3322347.0,5394626.0
"AL, Hale",14651,42.41,63.24,0.24,0.16,0.96,0.6,5.22,78111806.0,47309251.0,50314318.0,136411212.0,59565838.0,23482916.0,44733459.0
"AL, Henry",17205,68.18,28.57,0.26,0.31,2.26,1.02,5.61,115296727.0,89573187.0,105024998.0,165796327.0,105676207.0,45911542.0,86879572.0
"AL, Houston",105882,65.86,24.59,0.76,0.37,2.83,1.66,4.51,29141867919.0,17152826824.0,16566491484.0,37088223078.0,27818969740.0,11464366138.0,25766236465.0
"AL, Jackson",51626,92.85,3.43,0.32,1.32,2.59,2.67,5.03,3098612654.0,2267589448.0,2312365711.0,5644186946.0,2559433808.0,1319029328.0,1924572365.0
"AL, Jefferson",658573,51.66,41.83,1.38,0.22,3.87,1.1,4.5,6703855137131.0,3750406346016.0,2837906208489.0,7534642724312.0,6207681293048.0,2448774066991.0,9534474880777.0
"AL, Lamar",13805,90.85,11.84,0.03,0.17,1.3,1.33,6.95,58297825.0,49359778.0,46462936.0,104627267.0,57402156.0,23212417.0,31407203.0
"AL, Lauderdale",92729,85.44,9.91,0.73,0.35,2.25,1.41,5.79,17182717082.0,13379526167.0,10061300504.0,28673116133.0,16782878907.0,5479071005.0,18738216384.0
"AL, Lawrence",32924,80.25,11.9,0.12,5.86,1.74,4.49,4.83,827626062.0,519664843.0,738630515.0,1470323614.0,641288404.0,270238546.0,448554930.0
"AL, Lee",164542,59.5,19.25,2.2,0.24,2.78,1.37,2.85,100366284318.0,40405341584.0,40616519723.0,105689046895.0,100948376325.0,40914334162.0,157313882199.0
"AL, Limestone",98915,65.83,10.46,0.92,0.49,4.64,1.48,3.76,23217853050.0,11913213794.0,14820093193.0,29418085613.0,19748383707.0,7886046843.0,24907580407.0
"AL, Lowndes",9726,29.21,85.16,0.14,0.26,0.89,0.62,6.31,22248809.0,13479847.0,19921766.0,36475904.0,13943291.0,8154084.0,13508150.0
"AL, Macon",18068,18.08,97.58,0.42,0.15,1.28,1.26,6.14,121505674.0,83343348.0,107337652.0,178079834.0,141647880.0,42634698.0,120101971.0
"AL, Madison",372909,59.38,21.32,2.19,0.63,4.13,2.21,3.84,1231094210896.0,633173102417.0,430366360042.0,1070089243593.0,1046295885534.0,421702852385.0,2217260064023.0
"AL, Marengo",18863,50.93,57.46,0.28,0.16,1.87,0.87,6.02,165702024.0,109270152.0,108594102.0,254797443.0,139692021.0,59989999.0,108131582.0
"AL, Marion",29709,95.96,3.97,0.18,0.32,2.13,1.15,6.68,567968938.0,480942067.0,535576621.0,913163453.0,597007406.0,241751046.0,334691196.0
"AL, Marshall",96774,80.66,1.44,0.49,0.59,11.61,1.62,4.39,22658182425.0,13503692025.0,16666322474.0,28228607091.0,20338420613.0,7843360442.0,17553207797.0
"AL, Mobile",413210,59.03,34.43,1.82,0.86,2.4,1.46,4.23,1769455791500.0,910825890188.0,954809156764.0,2396507639873.0,1506887972001.0,560274451301.0,1636788865814.0
"AL, Monroe",20733,60.87,46.21,0.32,1.23,1.06,1.61,5.65,225674973.0,139746640.0,127968430.0,420959307.0,148730663.0,73505534.0,120059205.0
"AL, Montgomery",226486,38.9,55.16,2.12,0.23,3.67,1.28,4.51,284517884944.0,138950356846.0,154149334037.0,290488728567.0,248190121672.0,81201423127.0,387756028963.0
"AL, Morgan",119679,77.36,11.75,0.56,0.78,7.65,1.98,4.83,41071382971.0,24204543982.0,27302622793.0,52114464695.0,38493231623.0,15107966991.0,38398699575.0
"AL, Perry",8923,35.21,81.18,0.34,0.19,1.28,0.48,8.13,17126271.0,11863396.0,12197741.0,26226839.0,14140457.0,2293033.0,16178737.01
"AL, Pickens",19930,55.33,40.99,0.16,0.14,1.57,1.16,6.09,184461916.0,133699209.0,146369906.0,294249310.0,181363797.0,57833073.0,111813279.0
"AL, Pike",33114,57.04,36.21,1.95,0.56,2.2,1.48,4.04,737420964.0,464821880.0,545856143.0,1298080390.0,775032508.0,150335242.0,861768339.0
"AL, Randolph",22722,76.05,20.26,0.24,0.37,2.86,1.15,5.66,280241787.0,199081075.0,238938644.0,409107565.0,234756660.0,96442847.0,193866603.0
"AL, Russell",57961,47.6,37.83,0.38,0.33,3.36,1.9,4.21,4965307892.0,2470895978.0,3150518263.0,6122312043.0,4546717028.0,2181980679.0,3470676279.0
"AL, Shelby",217702,71.83,9.47,1.7,0.21,5.31,1.23,3.48,264236664600.0,109058702947.0,75617383345.0,204581633830.0,228510945663.0,80134046739.0,442936347694.0
"AL, St. Clair",89512,81.49,7.93,0.57,0.28,1.92,1.25,3.26,17011923883.0,9359282523.0,11078742699.0,25511475870.0,16604894021.0,6989215116.0,11536251063.0
"AL, Sumter",12427,26.59,82.75,0.27,0.09,0.69,0.38,6.79,42777214.0,28770369.0,25527295.0,67856639.0,44923729.0,12215492.0,41387378.0
"AL, Talladega",79978,66.37,32.45,0.41,0.29,2.09,1.38,4.91,11991482235.0,7208194001.0,10062943129.0,17250668361.0,11839245712.0,4351525401.0,7653389139.0
"AL, Tallapoosa",40367,71.44,27.37,0.49,0.29,2.58,1.01,5.51,1456931012.0,1136572445.0,1272635473.0,2151421834.0,1360139019.0,580588873.0,1213158735.0
"AL, Tuscaloosa",209355,60.48,27.42,1.1,0.22,2.84,1.0,3.2,197009291685.0,99190577612.0,106904572432.0,274307026566.0,191990811577.0,62404465126.0,281985956517.0
"AL, Walker",63521,95.38,6.12,0.3,0.37,2.06,1.3,5.21,5777194932.0,4164842024.0,4659522610.0,9612787286.0,5778809000.0,2671518577.0,2907561343.0
"AL, Washington",16326,70.16,26.71,0.11,8.54,0.92,1.27,4.47,110959822.0,64102406.0,75590196.0,187403052.0,79801488.0,37235361.0,55120168.0
"AL, Wilcox",10373,29.98,81.17,0.04,0.13,0.69,0.49,5.54,30127756.0,16753225.0,26275743.0,44051123.0,21121710.0,6208448.0,13944839.0
"AL, Winston",23629,98.34,0.49,0.25,0.59,2.7,1.49,6.01,285474000.0,233493508.0,279499880.0,504171737.0,272129758.0,94190156.0,169229717.0
"AR, Arkansas",3035290,72.05,14.88,1.18,0.67,6.15,1.89,4.49,666735610173147.8,393483607886910.4,366984194079532.8,930011171077313.2,610713426301901.0,195574656272356.75,629240198014266.6
"AR, Ashley",19657,75.81,28.59,0.2,0.27,5.44,1.26,5.18,185239115.0,123183539.0,126970264.0,331683765.0,158616264.0,48608812.0,93701381.0
"AR, Baxter",41932,95.0,0.14,0.39,0.52,1.64,1.44,7.71,1332961672.0,2071092764.0,830968960.0,2676824825.0,1874867358.0,672019424.0,1318367659.0
"AR, Benton",279141,60.76,0.95,2.24,1.23,12.28,2.12,2.9,607711308495.0,265137355784.0,248353453252.0,634632562578.0,434690619490.0,131972591827.0,725409012005.0
"AR, Boone",37432,93.87,0.17,0.41,0.66,1.8,1.73,5.01,1219985241.0,948301539.0,660224119.0,1751162914.0,1527398536.0,459578866.0,846437463.0
"AR, Bradley",10763,62.03,29.42,0.23,0.14,14.09,1.44,4.67,29053212.0,22114306.0,23643405.0,51480290.0,24535335.0,7147493.0,17874437.0
"AR, Calhoun",5189,75.91,22.93,0.21,0.19,2.93,1.45,4.88,2867596.99,2401781.0,2202522.99,6244078.99,2469082.0,1462053.0,1594009.0
"AR, Carroll",28380,81.26,0.26,0.56,0.79,12.29,2.18,5.56,514988305.0,427197045.0,313632205.0,821452289.0,543902984.0,121699684.0,485107003.0
"AR, Chicot",10118,47.05,62.73,0.52,0.23,5.36,0.91,6.63,23904281.0,18857321.0,19921937.0,39434399.0,22399431.0,5374682.0,16451463.0
"AR, Clark",22320,72.48,24.04,0.54,0.38,4.15,1.54,4.9,216609797.0,164898374.0,111692405.0,335675390.0,268370770.0,100035115.0,296169437.0
"AR, Clay",14551,107.05,0.38,0.12,0.27,1.49,1.39,7.76,68770354.0,61677469.0,54012730.0,129092689.0,67245991.0,19034600.0,38725740.0
"AR, Cleburne",24919,99.9,0.27,0.2,0.51,2.07,1.46,6.83,307621816.0,364563475.0,217458893.0,662809018.0,308863778.0,117733304.0,240558557.0
"AR, Cleveland",7956,92.94,13.24,0.13,0.29,1.82,0.82,5.66,12469677.0,8209717.01,5247380.0,23445536.0,10058055.0,3430786.0,8184417.01
"AR, Columbia",23457,62.01,38.39,0.73,0.26,2.27,1.09,6.36,294043347.0,206501588.0,182346508.0,538400780.0,246338377.0,70154492.0,253436231.0
"AR, Conway",20846,84.11,11.4,0.36,0.71,3.63,2.02,6.02,219146493.0,153007138.0,117330043.0,397227409.0,175734282.0,74091687.0,141534751.0
"AR, Craighead",110332,69.57,11.39,0.97,0.26,3.88,1.54,3.79,33617371526.0,16344889203.0,14337536378.0,46446655121.0,28133368012.0,10158493421.0,35232748958.0
"AR, Crawford",63257,85.0,1.1,1.38,2.1,5.94,2.8,4.01,6680017639.0,3364017381.0,3801776063.0,9436214954.0,5869723934.0,2162382349.0,4041462529.0
"AR, Crittenden",47955,48.02,54.12,0.63,0.25,2.11,1.16,4.24,3208056185.0,1186635925.0,1917704625.0,3834719657.0,2616348072.0,736128432.0,1922994061.0
"AR, Cross",16419,81.27,24.15,0.51,0.28,1.62,1.14,4.33,111311133.0,68339490.0,72383162.0,183694294.0,92467211.0,30220319.0,63864328.0
"AR, Dallas",7009,62.68,48.45,0.14,0.46,2.68,1.46,8.12,8115651.01,6253780.0,5526667.0,15170139.01,8022291.0,1626088.0,4082392.0
"AR, Desha",11361,53.54,54.36,0.38,0.3,5.09,1.04,5.32,38063440.0,22200416.0,27763444.0,65413798.0,27531111.0,5317743.0,20612830.0
"AR, Drew",18219,69.09,28.21,0.5,0.23,2.49,1.17,4.56,142465110.0,89389337.0,79132587.0,213399147.0,131843433.0,42620071.0,137751673.0
"AR, Faulkner",126007,74.06,9.12,1.0,0.49,3.52,1.8,3.07,49017833122.0,19986929183.0,16339806517.0,60948385053.0,46097911973.0,15550682639.0,61134154653.0
"AR, Franklin",17715,95.95,0.7,0.91,1.03,2.09,1.73,5.42,135916035.0,92232085.0,90474579.0,228085231.0,126752419.0,43119019.0,67503008.0
"AR, Fulton",12477,94.61,0.31,0.22,0.63,0.78,1.64,7.41,41222885.0,43495695.0,27974931.0,69586974.0,57740062.0,15162799.0,23771679.0
"AR, Garland",99386,81.12,7.6,0.69,0.54,4.65,2.23,6.78,20537457971.0,20546348049.0,10685562317.0,30854587441.0,27250259735.0,8137148247.0,21241729032.0
"AR, Grant",18265,91.98,2.11,0.26,0.41,2.15,1.03,3.87,147288960.0,88406618.0,56046518.0,266821513.0,131108727.0,41334243.0,114028030.0
"AR, Greene",45325,88.62,0.51,0.24,0.43,1.99,1.25,3.91,2342787155.0,1335331156.0,1094765999.0,4270183375.0,1967867366.0,473939956.0,1504404738.0
"AR, Hempstead",21532,59.31,30.76,0.38,0.36,12.6,2.01,4.12,259538331.0,149937005.0,173535647.0,367563513.0,205803933.0,100746075.0,150632489.0
"AR, Hot Spring",33771,82.03,10.49,0.28,0.43,2.72,1.7,4.51,899382856.0,604340488.0,545719773.0,1502012842.0,1023353157.0,268697273.0,511619506.0
"AR, Howard",13202,70.38,21.31,0.64,0.71,10.22,1.33,5.29,60444697.0,35119960.0,33987097.0,88331546.0,54797673.0,21751747.0,31233292.0
"AR, Independence",37825,87.02,1.87,0.73,0.38,5.65,1.49,4.52,1298244780.0,846420238.0,756570354.0,2035929869.0,1259328907.0,410762857.0,949146508.0
"AR, Izard",13629,95.43,1.28,0.29,0.75,1.53,1.31,4.83,48536413.0,59699926.0,41050684.0,96255494.0,55892120.0,26896559.0,33081944.0
"AR, Jackson",16719,84.81,17.87,0.32,0.51,2.61,1.61,6.03,96967191.0,74157960.0,92690470.0,198546652.0,98308890.0,30356354.0,47435314.0
"AR, Jefferson",66824,47.96,63.58,0.89,0.3,1.82,1.4,5.33,7101846897.0,3950580753.0,4134557248.0,11603910752.0,6868750752.0,1863431344.0,5368807220.0
"AR, Johnson",26578,80.25,1.26,0.66,0.79,11.64,1.86,4.74,465228488.0,275633528.0,396355588.0,763254512.0,344859650.0,84272459.0,288701665.0
"AR, Lafayette",6624,69.19,42.83,0.39,0.17,1.98,0.92,6.39,6752704.0,5638216.0,5897148.01,11688909.0,5010791.0,1873532.0,4593943.0
"AR, Lawrence",16406,102.69,0.82,0.13,0.37,0.96,1.25,4.85,101203036.0,80154958.0,70088401.0,170672274.0,101956564.0,30818507.0,68042901.0
"AR, Lee",8857,48.77,64.81,0.46,0.45,1.9,1.37,4.8,14394928.0,10715819.0,16787558.0,28060305.0,13037770.0,4126299.0,7468134.0
"AR, Lincoln",13024,71.38,32.33,0.15,0.27,3.47,1.07,3.44,42881129.0,27479207.0,41795449.0,104488687.0,40438478.0,12704912.0,21508355.0
"AR, Little River",12259,80.19,20.46,0.32,1.52,2.91,2.15,5.77,43882684.0,31529412.0,20348346.0,82265000.0,47639700.0,10895554.0,23098530.0
"AR, Logan",21466,96.0,1.33,1.68,1.06,2.38,1.91,5.21,242928146.0,170031113.0,136209283.0,445951642.0,201733389.0,73265390.0,132016115.0
"AR, Lonoke",73309,81.99,5.54,0.72,0.45,3.06,1.68,3.24,10854291087.0,4392879079.0,4283244736.0,14452323931.0,8802417628.0,3740986861.0,8118818534.0
"AR, Madison",16576,87.18,0.16,0.49,1.03,4.58,1.63,4.46,110125308.0,71053853.0,88171722.0,199753232.0,78994586.0,23739650.0,64789285.0
"AR, Marion",16694,95.62,0.17,0.22,0.59,1.72,1.59,6.26,83328268.0,110723456.0,62760926.0,174543282.0,114513495.0,34000169.0,79426546.0
"AR, Miller",43257,70.95,24.48,0.45,0.65,2.4,1.71,4.36,1964352278.0,1113719378.0,1096504390.0,2858022000.0,2287877005.0,495485144.0,1356222446.0
"AR, Mississippi",40651,69.14,38.77,0.56,0.3,4.17,1.71,4.86,1893769519.0,821625004.0,1266313610.0,2609468585.0,1441644218.0,470632887.0,929533490.0
"AR, Monroe",6701,67.89,49.46,0.54,0.43,1.97,1.43,9.94,6793876.0,5689283.0,6362801.0,12420304.0,6093420.0,1391999.0,3821312.0
"AR, Montgomery",8986,98.0,0.19,0.55,0.83,4.02,2.1,7.59,15277548.0,16262683.0,14655807.0,26388467.0,16561467.99,5167849.0,9786653.0
"AR, Nevada",8252,71.03,33.42,0.28,0.34,2.67,1.48,4.91,13312704.0,9914695.0,5399944.0,24160288.0,12978993.0,5447640.0,8198692.0
"AR, Newton",7753,101.82,0.06,0.28,1.08,1.82,2.35,7.31,9713579.0,9515257.0,6299390.0,16487917.0,11318527.0,2957381.99,9539291.0
"AR, Ouachita",23382,62.89,44.62,0.41,0.34,1.74,1.8,5.56,300804286.0,217812449.0,178394138.0,531956634.0,288776351.0,94254245.0,184954660.0
"AR, Perry",10455,93.53,1.87,0.16,0.56,2.36,1.63,3.56,26288366.0,19117804.0,17314212.0,47625034.0,27370458.0,7498431.0,14461356.0
"AR, Phillips",17782,42.37,76.77,0.36,0.22,1.61,1.16,5.88,158004984.0,84109038.0,110922871.0,179601401.0,142858988.0,51413986.0,77468883.0
"AR, Pike",10718,92.96,3.05,0.51,0.59,6.78,1.73,5.81,30384565.0,21401274.0,15531132.0,46880746.0,29764208.0,9672566.0,21286484.0
"AR, Poinsett",23528,93.0,7.5,0.19,0.24,2.31,1.4,3.95,315699175.0,206591133.0,256135454.0,561095273.0,277668986.0,63327965.0,144204053.0
"AR, Polk",19964,92.91,0.27,0.44,1.74,5.96,2.39,5.02,189515856.0,155000496.0,119966870.0,290790234.0,200277051.0,72458539.0,112155157.0
"AR, Pope",64072,83.76,2.73,0.93,0.62,6.51,2.13,4.14,6065464299.0,3456185920.0,4082232150.0,9256453008.0,5405755281.0,1570247103.0,5987875670.0
"AR, Prairie",8062,92.66,13.16,0.06,0.32,1.0,0.99,8.76,11289782.99,10321376.0,8800399.0,20928630.0,11166273.0,3412322.0,8091990.99
"AR, Pulaski",391911,54.02,34.0,1.89,0.32,5.66,2.01,4.56,1450098502166.0,721739296189.0,580801230389.0,1562483402172.0,1378984373963.0,431645868674.0,2065612026618.0
"AR, Randolph",17958,95.92,0.71,0.16,0.5,1.58,1.4,5.36,134413655.0,108292127.0,99101043.0,209134558.0,137735346.0,52985079.0,80203122.0
"AR, Saline",122437,77.83,4.04,0.75,0.4,3.34,1.25,3.96,44785071976.0,27200841448.0,17213957777.0,57542258062.0,43287488708.0,16512387645.0,48988497027.0
"AR, Scott",10281,93.25,0.5,3.69,1.85,7.61,2.74,5.22,27893998.0,18529035.0,22672381.0,44298464.0,23253771.0,8318460.0,10125963.0
"AR, Searcy",7881,98.97,0.04,0.14,1.15,1.54,2.3,5.25,10005954.0,10422071.01,8931458.0,19651668.0,10471800.0,4074398.0,5819723.99
"AR, Sebastian",127827,71.65,6.14,3.94,1.71,12.08,3.54,4.79,52947299644.0,27444230646.0,33288956603.0,64829560691.0,50151569762.0,16068501983.0,44527431025.0
"AR, Sevier",17007,61.25,4.22,0.36,1.91,30.69,3.08,3.66,145371074.0,61925888.0,115550660.0,184273566.0,94494123.0,34650742.0,62938145.0
